Opt. Const. of Cauchy Film vs. nm,,,
nm,n,,
534.774231,1.459877,5.34774E-07,1.459877
536.367065,1.459789,5.36367E-07,1.459789
537.959839,1.459701,5.3796E-07,1.459701
539.552612,1.459614,5.39553E-07,1.459614
541.145325,1.459528,5.41145E-07,1.459528
542.737915,1.459442,5.42738E-07,1.459442
544.330566,1.459357,5.44331E-07,1.459357
545.923157,1.459273,5.45923E-07,1.459273
547.515686,1.459189,5.47516E-07,1.459189
549.108154,1.459106,5.49108E-07,1.459106
550.700562,1.459024,5.50701E-07,1.459024
552.29303,1.458942,5.52293E-07,1.458942
553.885376,1.458861,5.53885E-07,1.458861
555.477661,1.458781,5.55478E-07,1.458781
557.069885,1.458701,5.5707E-07,1.458701
558.662109,1.458622,5.58662E-07,1.458622
560.254272,1.458543,5.60254E-07,1.458543
561.846313,1.458465,5.61846E-07,1.458465
563.438354,1.458388,5.63438E-07,1.458388
565.030396,1.458311,5.6503E-07,1.458311
566.622314,1.458235,5.66622E-07,1.458235
568.214233,1.458159,5.68214E-07,1.458159
569.80603,1.458084,5.69806E-07,1.458084
571.397827,1.45801,5.71398E-07,1.45801
572.989563,1.457936,5.7299E-07,1.457936
574.581238,1.457862,5.74581E-07,1.457862
576.172852,1.457789,5.76173E-07,1.457789
577.764404,1.457717,5.77764E-07,1.457717
579.355835,1.457645,5.79356E-07,1.457645
580.947327,1.457574,5.80947E-07,1.457574
582.538696,1.457503,5.82539E-07,1.457503
584.130005,1.457433,5.8413E-07,1.457433
585.721252,1.457363,5.85721E-07,1.457363
587.312378,1.457294,5.87312E-07,1.457294
588.903564,1.457226,5.88904E-07,1.457226
590.494568,1.457158,5.90495E-07,1.457158
592.085571,1.45709,5.92086E-07,1.45709
593.676514,1.457023,5.93677E-07,1.457023
595.267395,1.456956,5.95267E-07,1.456956
596.858154,1.45689,5.96858E-07,1.45689
598.448853,1.456824,5.98449E-07,1.456824
600.039551,1.456759,6.0004E-07,1.456759
601.630127,1.456694,6.0163E-07,1.456694
603.220642,1.45663,6.03221E-07,1.45663
604.811096,1.456566,6.04811E-07,1.456566
606.401489,1.456503,6.06401E-07,1.456503
607.99176,1.45644,6.07992E-07,1.45644
609.58197,1.456378,6.09582E-07,1.456378
611.172119,1.456316,6.11172E-07,1.456316
612.762207,1.456254,6.12762E-07,1.456254
614.352173,1.456193,6.14352E-07,1.456193
615.942139,1.456133,6.15942E-07,1.456133
617.531982,1.456072,6.17532E-07,1.456072
619.121704,1.456012,6.19122E-07,1.456012
620.711426,1.455953,6.20711E-07,1.455953
622.301086,1.455894,6.22301E-07,1.455894
623.890564,1.455836,6.23891E-07,1.455836
625.480042,1.455778,6.2548E-07,1.455778
627.069397,1.45572,6.27069E-07,1.45572
628.658691,1.455662,6.28659E-07,1.455662
630.247925,1.455606,6.30248E-07,1.455606
631.837036,1.455549,6.31837E-07,1.455549
633.426025,1.455493,6.33426E-07,1.455493
635.015015,1.455437,6.35015E-07,1.455437
636.603882,1.455382,6.36604E-07,1.455382
638.192627,1.455327,6.38193E-07,1.455327
639.781311,1.455272,6.39781E-07,1.455272
641.369934,1.455218,6.4137E-07,1.455218
642.958435,1.455164,6.42958E-07,1.455164
644.546814,1.455111,6.44547E-07,1.455111
646.135132,1.455058,6.46135E-07,1.455058
647.72345,1.455005,6.47723E-07,1.455005
649.311584,1.454953,6.49312E-07,1.454953
650.899597,1.454901,6.509E-07,1.454901
652.48761,1.454849,6.52488E-07,1.454849
654.075439,1.454798,6.54075E-07,1.454798
655.663208,1.454747,6.55663E-07,1.454747
657.250854,1.454696,6.57251E-07,1.454696
658.838501,1.454646,6.58839E-07,1.454646
660.425903,1.454596,6.60426E-07,1.454596
662.013306,1.454546,6.62013E-07,1.454546
663.600586,1.454497,6.63601E-07,1.454497
665.187805,1.454448,6.65188E-07,1.454448
666.774841,1.454399,6.66775E-07,1.454399
668.361877,1.454351,6.68362E-07,1.454351
669.94873,1.454303,6.69949E-07,1.454303
671.535522,1.454256,6.71536E-07,1.454256
673.122192,1.454208,6.73122E-07,1.454208
674.70874,1.454161,6.74709E-07,1.454161
676.295227,1.454115,6.76295E-07,1.454115
677.881531,1.454068,6.77882E-07,1.454068
679.467834,1.454022,6.79468E-07,1.454022
681.053955,1.453976,6.81054E-07,1.453976
682.640015,1.453931,6.8264E-07,1.453931
684.225952,1.453886,6.84226E-07,1.453886
685.811707,1.453841,6.85812E-07,1.453841
687.397461,1.453796,6.87397E-07,1.453796
688.983032,1.453752,6.88983E-07,1.453752
690.568542,1.453708,6.90569E-07,1.453708
692.153931,1.453664,6.92154E-07,1.453664
693.739136,1.453621,6.93739E-07,1.453621
695.324341,1.453578,6.95324E-07,1.453578
696.909302,1.453535,6.96909E-07,1.453535
698.494263,1.453492,6.98494E-07,1.453492
700.079041,1.45345,7.00079E-07,1.45345
701.663696,1.453408,7.01664E-07,1.453408
703.248291,1.453366,7.03248E-07,1.453366
704.832764,1.453324,7.04833E-07,1.453324
706.417114,1.453283,7.06417E-07,1.453283
708.001282,1.453242,7.08001E-07,1.453242
709.585327,1.453201,7.09585E-07,1.453201
711.169312,1.453161,7.11169E-07,1.453161
712.753174,1.45312,7.12753E-07,1.45312
714.336853,1.453081,7.14337E-07,1.453081
715.920471,1.453041,7.1592E-07,1.453041
717.503967,1.453001,7.17504E-07,1.453001
719.08728,1.452962,7.19087E-07,1.452962
720.670532,1.452923,7.20671E-07,1.452923
722.253601,1.452884,7.22254E-07,1.452884
723.836548,1.452846,7.23837E-07,1.452846
725.419373,1.452808,7.25419E-07,1.452808
727.002075,1.45277,7.27002E-07,1.45277
728.584656,1.452732,7.28585E-07,1.452732
730.167114,1.452694,7.30167E-07,1.452694
731.749451,1.452657,7.31749E-07,1.452657
733.331665,1.45262,7.33332E-07,1.45262
734.913696,1.452583,7.34914E-07,1.452583
736.495605,1.452546,7.36496E-07,1.452546
738.077393,1.45251,7.38077E-07,1.45251
739.659058,1.452474,7.39659E-07,1.452474
741.24054,1.452438,7.41241E-07,1.452438
742.821899,1.452402,7.42822E-07,1.452402
744.403198,1.452367,7.44403E-07,1.452367
745.984253,1.452331,7.45984E-07,1.452331
747.565247,1.452296,7.47565E-07,1.452296
