Opt. Const. of Cauchy Film vs. nm,,,
nm,n,,
1571.629028,1.445692,1.57163E-06,1.445692
1575.06897,1.445683,1.57507E-06,1.445683
1578.508667,1.445675,1.57851E-06,1.445675
1581.947998,1.445666,1.58195E-06,1.445666
1585.387085,1.445657,1.58539E-06,1.445657
1588.825928,1.445649,1.58883E-06,1.445649
1592.264282,1.445641,1.59226E-06,1.445641
1595.702393,1.445632,1.5957E-06,1.445632
1599.140137,1.445624,1.59914E-06,1.445624
1602.577515,1.445616,1.60258E-06,1.445616
1606.014526,1.445608,1.60601E-06,1.445608
1609.451294,1.445599,1.60945E-06,1.445599
1612.887695,1.445591,1.61289E-06,1.445591
1616.32373,1.445583,1.61632E-06,1.445583
1619.759521,1.445575,1.61976E-06,1.445575
1623.194824,1.445567,1.62319E-06,1.445567
1626.629761,1.44556,1.62663E-06,1.44556
1630.064453,1.445552,1.63006E-06,1.445552
1633.498779,1.445544,1.6335E-06,1.445544
1636.932739,1.445536,1.63693E-06,1.445536
1640.366455,1.445529,1.64037E-06,1.445529
1643.799561,1.445521,1.6438E-06,1.445521
1647.232422,1.445513,1.64723E-06,1.445513
1650.664795,1.445506,1.65066E-06,1.445506
1654.097046,1.445498,1.6541E-06,1.445498
1657.528687,1.445491,1.65753E-06,1.445491
1660.960205,1.445483,1.66096E-06,1.445483
1664.391235,1.445476,1.66439E-06,1.445476
1667.821899,1.445469,1.66782E-06,1.445469
1671.252197,1.445461,1.67125E-06,1.445461
1674.682007,1.445454,1.67468E-06,1.445454
1678.111572,1.445447,1.67811E-06,1.445447
1681.540649,1.44544,1.68154E-06,1.44544
1684.96936,1.445433,1.68497E-06,1.445433
1688.397705,1.445426,1.6884E-06,1.445426
