Opt. Const. of Cauchy Film vs. nm,
nm,n
820.126343,1.450888
821.69989,1.450861
823.273315,1.450834
824.846558,1.450808
826.419617,1.450782
827.992493,1.450756
829.565247,1.45073
831.137695,1.450704
832.710083,1.450678
834.282227,1.450653
835.854187,1.450628
837.426086,1.450602
838.997681,1.450577
840.569153,1.450552
842.14032,1.450527
843.711426,1.450503
845.282349,1.450478
846.853027,1.450454
848.423523,1.45043
849.993835,1.450405
851.563965,1.450381
853.133911,1.450357
854.703735,1.450334
856.273254,1.45031
857.84259,1.450287
859.411804,1.450263
860.980774,1.45024
862.549622,1.450217
864.118164,1.450194
865.686646,1.450171
867.254761,1.450148
868.822876,1.450126
870.390625,1.450103
871.958191,1.450081
873.525696,1.450058
875.092896,1.450036
876.659851,1.450014
878.226685,1.449992
879.793335,1.44997
881.359741,1.449949
882.925964,1.449927
884.491882,1.449906
886.057739,1.449884
887.623352,1.449863
889.18866,1.449842
890.753906,1.449821
892.318848,1.4498
893.883606,1.449779
895.44812,1.449759
897.012512,1.449738
898.57666,1.449717
900.140503,1.449697
901.704285,1.449677
903.267761,1.449657
904.831055,1.449636
906.394165,1.449617
907.956909,1.449597
909.519653,1.449577
911.082031,1.449557
912.644226,1.449538
914.206177,1.449518
915.767944,1.449499
917.329468,1.44948
918.890808,1.44946
920.451965,1.449441
922.012817,1.449422
923.573425,1.449404
925.133911,1.449385
926.694031,1.449366
928.254028,1.449347
929.813782,1.449329
931.373352,1.449311
932.932617,1.449292
934.491699,1.449274
936.050598,1.449256
937.609192,1.449238
939.167603,1.44922
940.725708,1.449202
942.283569,1.449184
943.841309,1.449166
945.398743,1.449149
946.955933,1.449131
948.512878,1.449114
950.069641,1.449097
951.62616,1.449079
953.182434,1.449062
954.738464,1.449045
956.29425,1.449028
957.849792,1.449011
959.405151,1.448994
960.960266,1.448977
962.515015,1.448961
964.069641,1.448944
965.624023,1.448928
967.178101,1.448911
968.731934,1.448895
970.285522,1.448879
971.838989,1.448862
973.391968,1.448846
974.944946,1.44883
976.497559,1.448814
978.049927,1.448798
979.602051,1.448782
981.153931,1.448767
982.705444,1.448751
984.256836,1.448735
985.807983,1.44872
987.358887,1.448704
988.909485,1.448689
990.459778,1.448674
992.009888,1.448658
993.559753,1.448643
995.109253,1.448628
996.658569,1.448613
998.207703,1.448598
999.75647,1.448583
1011.723267,1.44847
1015.185913,1.448439
1018.648621,1.448407
1022.111328,1.448376
1025.573975,1.448345
1029.036865,1.448314
1032.499634,1.448284
1035.962402,1.448254
1039.425293,1.448224
1042.888184,1.448194
1046.351074,1.448165
1049.813965,1.448136
1053.276978,1.448107
1056.739868,1.448079
1060.202881,1.448051
1063.665771,1.448023
1067.128662,1.447996
1070.591675,1.447968
1074.054688,1.447941
1077.5177,1.447914
1080.980591,1.447888
1084.443604,1.447862
1087.906494,1.447835
1091.369507,1.44781
1094.832397,1.447784
1098.295288,1.447759
1101.758301,1.447734
1105.221191,1.447709
1108.684082,1.447684
1112.146851,1.44766
1115.609741,1.447635
1119.07251,1.447611
1122.535278,1.447588
1125.998047,1.447564
1129.460693,1.447541
1132.923462,1.447518
1136.385986,1.447495
1139.848633,1.447472
1143.311279,1.447449
1146.773682,1.447427
