2% Long Anneal

wavelength (microns), Re(index)
1.43767, 1.47826
1.43724, 1.47827
1.43724, 1.47827
1.43689, 1.47827
1.43612, 1.47827
1.43534, 1.47828
1.43457, 1.47828
1.4338, 1.47829
1.43379, 1.47829
1.43379, 1.47829
1.43303, 1.47829
1.43226, 1.4783
1.43149, 1.4783
1.43072, 1.47831
1.43034, 1.47831
1.43034, 1.47831
1.42995, 1.47831
1.42918, 1.47832
1.42842, 1.47832
1.42842, 1.47832
1.42765, 1.47833
1.42689, 1.47833
1.42689, 1.47833
1.42689, 1.47833
1.42612, 1.47834
1.42536, 1.47834
1.4246, 1.47834
1.42384, 1.47835
1.42344, 1.47835
1.42344, 1.47835
1.42308, 1.47835
1.42232, 1.47836
1.42156, 1.47836
1.4208, 1.47837
1.42004, 1.47837
1.41999, 1.47837
1.41999, 1.47837
1.41929, 1.47838
1.41853, 1.47838
1.41778, 1.47839
1.41702, 1.47839
1.41653, 1.47839
1.41653, 1.47839
1.41627, 1.4784
1.41552, 1.4784
1.41476, 1.47841
1.41401, 1.47841
1.41326, 1.47841
1.41308, 1.47842
1.41308, 1.47842
1.41251, 1.47842
1.41176, 1.47842
1.41102, 1.47843
1.41027, 1.47843
1.40963, 1.47844
1.40963, 1.47844
1.40952, 1.47844
1.40952, 1.47844
1.40878, 1.47844
1.40803, 1.47845
1.40729, 1.47845
1.40655, 1.47846
1.40618, 1.47846
1.40618, 1.47846
1.4058, 1.47846
1.40506, 1.47847
1.40432, 1.47847
1.40358, 1.47847
1.40284, 1.47848
1.40272, 1.47848
1.40272, 1.47848
1.40211, 1.47848
1.40137, 1.47849
1.40063, 1.47849
1.39989, 1.4785
1.39927, 1.4785
1.39927, 1.4785
1.39916, 1.4785
1.39843, 1.47851
1.39769, 1.47851
1.39696, 1.47852
1.39623, 1.47852
1.39582, 1.47852
1.39582, 1.47852
1.3955, 1.47853
1.39476, 1.47853
1.39403, 1.47853
1.39331, 1.47854
1.39258, 1.47854
1.39236, 1.47855
1.39236, 1.47855
1.39185, 1.47855
1.39112, 1.47855
1.39112, 1.47855
1.3904, 1.47856
1.38967, 1.47856
1.38895, 1.47857
1.38891, 1.47857
1.38891, 1.47857
1.38822, 1.47857
1.3875, 1.47858
1.38678, 1.47858
1.38606, 1.47859
1.38546, 1.47859
1.38546, 1.47859
1.38534, 1.47859
1.38462, 1.47859
1.3839, 1.4786
1.38318, 1.4786
1.38246, 1.47861
1.382, 1.47861
1.382, 1.47861
1.38174, 1.47861
1.38103, 1.47862
1.38031, 1.47862
1.3796, 1.47863
